angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
RightElbow,1,pair_conf_min,low,0.4,119,0,0.0,0.47058823529411764,0.5294117647058824,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.4,114,4,0.03508771929824561,0.49122807017543857,0.5087719298245614,0.5,0.034482758620689655,0.03571428571428571,1.0178571428571428
RightElbow,1,pair_conf_min,low,0.5,119,0,0.0,0.4789915966386555,0.5210084033613446,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.5,114,4,0.03508771929824561,0.5,0.5,0.75,0.017543859649122806,0.05263157894736842,1.5
RightElbow,1,pair_conf_min,low,0.6,119,0,0.0,0.5042016806722689,0.4957983193277311,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.6,114,4,0.03508771929824561,0.5175438596491229,0.4824561403508772,0.75,0.01818181818181818,0.05084745762711865,1.4491525423728815
RightElbow,1,stereo_quality_min,low,0.05,119,0,0.0,0.6974789915966386,0.3025210084033613,nan,0.0,0.0,nan
RightElbow,6,stereo_quality_min,low,0.05,114,4,0.03508771929824561,0.7719298245614035,0.22807017543859648,1.0,0.0,0.045454545454545456,1.2954545454545456
RightElbow,1,stereo_quality_min,low,0.1,119,0,0.0,0.8991596638655462,0.10084033613445378,nan,0.0,0.0,nan
RightElbow,6,stereo_quality_min,low,0.1,114,4,0.03508771929824561,0.956140350877193,0.043859649122807015,1.0,0.0,0.03669724770642202,1.0458715596330277
RightElbow,1,stereo_quality_min,low,0.2,119,0,0.0,0.9663865546218487,0.03361344537815126,nan,0.0,0.0,nan
RightElbow,6,stereo_quality_min,low,0.2,114,4,0.03508771929824561,1.0,0.0,1.0,nan,0.03508771929824561,1.0
RightElbow,1,stereo_quality_min,low,0.3,119,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,stereo_quality_min,low,0.3,114,4,0.03508771929824561,1.0,0.0,1.0,nan,0.03508771929824561,1.0
RightElbow,1,stereo_quality_min,low,0.4,119,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,stereo_quality_min,low,0.4,114,4,0.03508771929824561,1.0,0.0,1.0,nan,0.03508771929824561,1.0
RightElbow,1,stereo_quality_min,low,0.5,119,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,stereo_quality_min,low,0.5,114,4,0.03508771929824561,1.0,0.0,1.0,nan,0.03508771929824561,1.0
RightElbow,1,epipolar_error_max,high,3.0,119,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,epipolar_error_max,high,3.0,114,4,0.03508771929824561,1.0,0.0,1.0,nan,0.03508771929824561,1.0
RightElbow,1,epipolar_error_max,high,6.0,119,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,epipolar_error_max,high,6.0,114,4,0.03508771929824561,1.0,0.0,1.0,nan,0.03508771929824561,1.0
RightElbow,1,epipolar_error_max,high,10.0,119,0,0.0,0.9663865546218487,0.03361344537815126,nan,0.0,0.0,nan
RightElbow,6,epipolar_error_max,high,10.0,114,4,0.03508771929824561,1.0,0.0,1.0,nan,0.03508771929824561,1.0
RightElbow,1,epipolar_error_max,high,15.0,119,0,0.0,0.8823529411764706,0.11764705882352941,nan,0.0,0.0,nan
RightElbow,6,epipolar_error_max,high,15.0,114,4,0.03508771929824561,0.9210526315789473,0.07894736842105263,1.0,0.0,0.0380952380952381,1.0857142857142859
RightElbow,1,epipolar_error_max,high,20.0,119,0,0.0,0.6722689075630253,0.3277310924369748,nan,0.0,0.0,nan
RightElbow,6,epipolar_error_max,high,20.0,114,4,0.03508771929824561,0.7192982456140351,0.2807017543859649,1.0,0.0,0.04878048780487805,1.3902439024390245
RightElbow,1,epipolar_error_max,high,30.0,119,0,0.0,0.5714285714285714,0.42857142857142855,nan,0.0,0.0,nan
RightElbow,6,epipolar_error_max,high,30.0,114,4,0.03508771929824561,0.5877192982456141,0.41228070175438597,1.0,0.0,0.05970149253731343,1.7014925373134329
RightElbow,1,reprojection_error_max,high,10.0,119,0,0.0,0.6638655462184874,0.33613445378151263,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,10.0,114,4,0.03508771929824561,0.7105263157894737,0.2894736842105263,1.0,0.0,0.04938271604938271,1.4074074074074074
RightElbow,1,reprojection_error_max,high,20.0,119,0,0.0,0.3025210084033613,0.6974789915966386,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,20.0,114,4,0.03508771929824561,0.3684210526315789,0.631578947368421,0.25,0.041666666666666664,0.023809523809523808,0.6785714285714286
RightElbow,1,reprojection_error_max,high,30.0,119,0,0.0,0.2184873949579832,0.7815126050420168,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,30.0,114,4,0.03508771929824561,0.24561403508771928,0.7543859649122807,0.25,0.03488372093023256,0.03571428571428571,1.0178571428571428
RightElbow,1,reprojection_error_max,high,40.0,119,0,0.0,0.08403361344537816,0.9159663865546218,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,40.0,114,4,0.03508771929824561,0.07894736842105263,0.9210526315789473,0.25,0.02857142857142857,0.1111111111111111,3.1666666666666665
RightElbow,1,reprojection_error_max,high,60.0,119,0,0.0,0.01680672268907563,0.9831932773109243,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,60.0,114,4,0.03508771929824561,0.017543859649122806,0.9824561403508771,0.0,0.03571428571428571,0.0,0.0
RightElbow,1,reprojection_error_max,high,80.0,119,0,0.0,0.0,1.0,nan,0.0,nan,nan
RightElbow,6,reprojection_error_max,high,80.0,114,4,0.03508771929824561,0.0,1.0,0.0,0.03508771929824561,nan,nan
