angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
RightElbow,6,detect_conf_min,low,0.4,97,14,0.14432989690721648,0.30927835051546393,0.6907216494845361,0.6428571428571429,0.07462686567164178,0.3,2.0785714285714287
RightElbow,1,detect_conf_min,low,0.5,104,0,0.0,0.3942307692307692,0.6057692307692307,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.5,97,14,0.14432989690721648,0.41237113402061853,0.5876288659793815,1.0,0.0,0.35,2.4250000000000003
RightElbow,1,detect_conf_min,low,0.6,104,0,0.0,0.4519230769230769,0.5480769230769231,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.6,97,14,0.14432989690721648,0.44329896907216493,0.5567010309278351,1.0,0.0,0.32558139534883723,2.2558139534883725
RightElbow,1,pair_conf_min,low,0.1,104,0,0.0,0.0,1.0,nan,0.0,nan,nan
RightElbow,6,pair_conf_min,low,0.1,97,14,0.14432989690721648,0.0,1.0,0.0,0.14432989690721648,nan,nan
RightElbow,1,pair_conf_min,low,0.2,104,0,0.0,0.0,1.0,nan,0.0,nan,nan
RightElbow,6,pair_conf_min,low,0.2,97,14,0.14432989690721648,0.0,1.0,0.0,0.14432989690721648,nan,nan
RightElbow,1,pair_conf_min,low,0.3,104,0,0.0,0.019230769230769232,0.9807692307692307,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.3,97,14,0.14432989690721648,0.020618556701030927,0.979381443298969,0.07142857142857142,0.1368421052631579,0.5,3.4642857142857144
RightElbow,1,pair_conf_min,low,0.4,104,0,0.0,0.0673076923076923,0.9326923076923077,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.4,97,14,0.14432989690721648,0.10309278350515463,0.8969072164948454,0.21428571428571427,0.12643678160919541,0.3,2.0785714285714287
RightElbow,1,pair_conf_min,low,0.5,104,0,0.0,0.28846153846153844,0.7115384615384616,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.5,97,14,0.14432989690721648,0.32989690721649484,0.6701030927835051,0.6428571428571429,0.07692307692307693,0.28125,1.9486607142857144
RightElbow,1,pair_conf_min,low,0.6,104,0,0.0,0.4230769230769231,0.5769230769230769,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.6,97,14,0.14432989690721648,0.422680412371134,0.5773195876288659,1.0,0.0,0.34146341463414637,2.3658536585365857
RightElbow,1,stereo_quality_min,low,0.05,104,0,0.0,0.5865384615384616,0.41346153846153844,nan,0.0,0.0,nan
RightElbow,6,stereo_quality_min,low,0.05,97,14,0.14432989690721648,0.6185567010309279,0.38144329896907214,1.0,0.0,0.23333333333333334,1.616666666666667
RightElbow,1,stereo_quality_min,low,0.1,104,0,0.0,0.6730769230769231,0.3269230769230769,nan,0.0,0.0,nan
RightElbow,6,stereo_quality_min,low,0.1,97,14,0.14432989690721648,0.7319587628865979,0.26804123711340205,1.0,0.0,0.19718309859154928,1.3661971830985915
RightElbow,1,stereo_quality_min,low,0.2,104,0,0.0,0.8846153846153846,0.11538461538461539,nan,0.0,0.0,nan
RightElbow,6,stereo_quality_min,low,0.2,97,14,0.14432989690721648,0.8969072164948454,0.10309278350515463,1.0,0.0,0.16091954022988506,1.1149425287356323
RightElbow,1,stereo_quality_min,low,0.3,104,0,0.0,0.9903846153846154,0.009615384615384616,nan,0.0,0.0,nan
RightElbow,6,stereo_quality_min,low,0.3,97,14,0.14432989690721648,1.0,0.0,1.0,nan,0.14432989690721648,1.0
RightElbow,1,stereo_quality_min,low,0.4,104,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,stereo_quality_min,low,0.4,97,14,0.14432989690721648,1.0,0.0,1.0,nan,0.14432989690721648,1.0
RightElbow,1,stereo_quality_min,low,0.5,104,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,stereo_quality_min,low,0.5,97,14,0.14432989690721648,1.0,0.0,1.0,nan,0.14432989690721648,1.0
RightElbow,1,epipolar_error_max,high,3.0,104,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,epipolar_error_max,high,3.0,97,14,0.14432989690721648,1.0,0.0,1.0,nan,0.14432989690721648,1.0
RightElbow,1,epipolar_error_max,high,6.0,104,0,0.0,1.0,0.0,nan,nan,0.0,nan
RightElbow,6,epipolar_error_max,high,6.0,97,14,0.14432989690721648,1.0,0.0,1.0,nan,0.14432989690721648,1.0
