AngleName,Scenario,Signal,N,MeanAngleError,MeanSignalValue
RightShoulder,Baseline,epipolar_error_max,372,15.388446657942364,8.456505628769785
RightShoulder,Occlusion,epipolar_error_max,655,17.093958650403806,7.335064994348566
RightShoulder,Environmental Interference,epipolar_error_max,282,12.638321854748346,2.759477450660732
RightShoulder,Unclassified,epipolar_error_max,1174,14.018151263317092,5.247232724607129
RightShoulder,Baseline,detect_conf_min,363,15.087888262293438,0.847456406052776
RightShoulder,Occlusion,detect_conf_min,645,16.942889682939693,0.6929782012838495
RightShoulder,Environmental Interference,detect_conf_min,280,12.666983148563588,0.8744687538061823
RightShoulder,Unclassified,detect_conf_min,1171,13.984301764141435,0.8183792617130646
RightShoulder,Baseline,temporal_rescue_fraction,386,17.072751421253987,0.10362694300518134
RightShoulder,Occlusion,temporal_rescue_fraction,655,17.093958650403806,0.1749618320610687
RightShoulder,Environmental Interference,temporal_rescue_fraction,282,12.638321854748346,0.04680851063829788
RightShoulder,Unclassified,temporal_rescue_fraction,1189,14.50685363439637,0.08242220353238015
LeftElbow,Baseline,pair_conf_min,376,19.96114574496532,0.6691979185504348
LeftElbow,Occlusion,pair_conf_min,645,19.867922883495414,0.635104187282742
LeftElbow,Environmental Interference,pair_conf_min,282,21.516116891869235,0.4630531851913236
LeftElbow,Unclassified,pair_conf_min,1172,24.330671282621125,0.5723928222748623
LeftElbow,Baseline,stereo_quality_min,376,19.96114574496532,0.5469975230003817
LeftElbow,Occlusion,stereo_quality_min,645,19.867922883495414,0.5220144772562484
LeftElbow,Environmental Interference,stereo_quality_min,282,21.516116891869235,0.3867999595754114
LeftElbow,Unclassified,stereo_quality_min,1172,24.330671282621125,0.44035109398947286
LeftElbow,Baseline,reprojection_error_max,366,18.580267827646825,1.817635259018985
LeftElbow,Occlusion,reprojection_error_max,642,19.872194652464156,1.736431385557641
LeftElbow,Environmental Interference,reprojection_error_max,282,21.516116891869235,0.9778461495969153
LeftElbow,Unclassified,reprojection_error_max,1082,20.883600902528023,2.061548901304069
LeftElbow,Baseline,epipolar_error_max,376,19.96114574496532,6.25630794938764
LeftElbow,Occlusion,epipolar_error_max,645,19.867922883495414,4.810382189743779
LeftElbow,Environmental Interference,epipolar_error_max,282,21.516116891869235,3.481086369437442
LeftElbow,Unclassified,epipolar_error_max,1172,24.330671282621125,10.556748891502902
LeftElbow,Baseline,detect_conf_min,367,19.522111299538274,0.879113365670194
LeftElbow,Occlusion,detect_conf_min,635,20.021216256851005,0.8196483089229253
LeftElbow,Environmental Interference,detect_conf_min,280,21.57765001370383,0.613951595925859
LeftElbow,Unclassified,detect_conf_min,1169,24.333936613741653,0.7538678208995416
LeftElbow,Baseline,temporal_rescue_fraction,390,20.070542673100267,0.11709401709401707
LeftElbow,Occlusion,temporal_rescue_fraction,645,19.867922883495414,0.1400516795865633
LeftElbow,Environmental Interference,temporal_rescue_fraction,282,21.516116891869235,0.2895981087470449
LeftElbow,Unclassified,temporal_rescue_fraction,1183,24.354390838719667,0.23612285150746692
RightElbow,Baseline,pair_conf_min,376,23.553677814220595,0.6506995100673536
RightElbow,Occlusion,pair_conf_min,655,22.535383227471375,0.6223234184021782
RightElbow,Environmental Interference,pair_conf_min,282,16.469427736245652,0.7168686037816688
RightElbow,Unclassified,pair_conf_min,1174,21.52712402070079,0.6668903566641965
RightElbow,Baseline,stereo_quality_min,376,23.553677814220595,0.5030636716385837
RightElbow,Occlusion,stereo_quality_min,655,22.535383227471375,0.4798446162042179
RightElbow,Environmental Interference,stereo_quality_min,282,16.469427736245652,0.5922285036159869
RightElbow,Unclassified,stereo_quality_min,1174,21.52712402070079,0.524053963074036
RightElbow,Baseline,reprojection_error_max,374,23.50557591268551,3.073522223808948
RightElbow,Occlusion,reprojection_error_max,641,21.958976525916636,2.5364516552286096
RightElbow,Environmental Interference,reprojection_error_max,282,16.469427736245652,1.4844573621744608
RightElbow,Unclassified,reprojection_error_max,1169,21.498652521105427,2.1531870394763053
RightElbow,Baseline,epipolar_error_max,376,23.553677814220595,8.177942556472274
RightElbow,Occlusion,epipolar_error_max,655,22.535383227471375,6.488130973621535
