angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,6,stereo_quality_min,low,0.1,2542,479,0.1884343036978757,0.12863886703383162,0.8713611329661684,0.18997912317327767,0.17516930022573363,0.2782874617737003,1.4768407679096995
LeftElbow,1,stereo_quality_min,low,0.2,2582,161,0.06235476374903176,0.2308288148721921,0.7691711851278079,0.4161490683229814,0.0473313192346425,0.11241610738255034,1.802847138271708
LeftElbow,6,stereo_quality_min,low,0.2,2542,479,0.1884343036978757,0.25609756097560976,0.7439024390243902,0.3945720250521921,0.15335801163405605,0.2903225806451613,1.5407098121085596
LeftElbow,1,stereo_quality_min,low,0.3,2582,161,0.06235476374903176,0.3164213787761425,0.6835786212238575,0.4968944099378882,0.04589235127478754,0.09791921664626684,1.5703566296935463
LeftElbow,6,stereo_quality_min,low,0.3,2542,479,0.1884343036978757,0.35051140833988986,0.6494885916601102,0.5219206680584552,0.1387038158691702,0.28058361391694725,1.489026193271148
LeftElbow,1,stereo_quality_min,low,0.4,2582,161,0.06235476374903176,0.40007745933384975,0.5999225406661503,0.6770186335403726,0.03357004519044545,0.10551790900290416,1.6922188884813574
LeftElbow,6,stereo_quality_min,low,0.4,2542,479,0.1884343036978757,0.43194335169158143,0.5680566483084186,0.6346555323590815,0.12119113573407202,0.2768670309653916,1.469302698776671
LeftElbow,1,stereo_quality_min,low,0.5,2582,161,0.06235476374903176,0.5189775367931836,0.4810224632068164,0.7763975155279503,0.028985507246376812,0.09328358208955224,1.496013720218782
LeftElbow,6,stereo_quality_min,low,0.5,2542,479,0.1884343036978757,0.5554681353265145,0.44453186467348543,0.7411273486430062,0.10973451327433628,0.2514164305949009,1.3342391786476784
LeftElbow,1,epipolar_error_max,high,3.0,2582,161,0.06235476374903176,0.5178156467854377,0.4821843532145624,0.7391304347826086,0.033734939759036145,0.08900523560209424,1.4274007349354492
LeftElbow,6,epipolar_error_max,high,3.0,2542,479,0.1884343036978757,0.5558615263571991,0.44413847364280096,0.6868475991649269,0.1328609388839681,0.23283793347487616,1.2356451500900525
